플랫폼,데이터 교정 전,교정 후
카카오페이지,조아라 휘슬북,휘슬북
네이버시리즈,라온E&M,SR E&M (라온)
카카오페이지,그래출판 슈어,슈어(SURE)
네이버시리즈,슈어,슈어(SURE)
네이버시리즈,에이템포 미디어,에이템포미디어
카카오페이지,도서출판윤송 윤송블린,Blrine(블린)
카카오페이지,스토린랩 매드햇,매드햇
카카오페이지,마야마루출판사 마롱,마롱
카카오페이지,마야마루출판사 M블루,M블루
카카오페이지,마야마루출판사 페리윙클,페리윙클
카카오페이지,마야마루출판사,마야마루
카카오페이지,다온노블타이탄,타이탄
카카오페이지,(레이블 KW북스는 그대로) kwbooks,KW Books
카카오페이지,뷰컴즈 어보브,뷰컴즈
"네이버시리즈, 리디북스",A·LIST,에이리스트(A-List)
카카오페이지,브리드 뉴에피소드," 뉴에피소드(New Episode)"
네이버시리즈," NEW EPISODE",뉴에피소드(New Episode)
카카오페이지,브리드 로하," 브리드"
카카오페이지,신영미디어 루시앤,신영미디어
카카오페이지,엠젯패밀리 나이트게일,나이트게일
카카오페이지,곁beside 위즈덤하우스,곁
카카오페이지,피플앤스토리 페가수스,페가수스
카카오페이지,피플앤스토리 Lagom,피플앤스토리
카카오페이지,HAKSANNOVEL 릴리스,릴리스
카카오페이지,HAKSANNOVEL edel(에델),edel(에델)
카카오페이지,스마트빅 도서출판 쉼표,도서출판 쉼표(스마트빅)
네이버시리즈,도서출판 쉼표,도서출판 쉼표(스마트빅)
카카오페이지,북큐브네트웍스 페리도트,북큐브네트웍스
카카오페이지,북큐브네트웍스 로카,북큐브네트웍스
네이버시리즈,북큐브,북큐브네트웍스
네이버시리즈,R(북큐브 제공),북큐브네트웍스
카카오페이지,조은세상북두,조은세상
네이버시리즈,예스원,스튜디오 예스원
카카오페이지,가람미디어허브 라이노,라이노
카카오페이지,주식회사스토리위즈,스토리위즈
네이버시리즈,글빚는이야기꾼,글빚는 이야기꾼
카카오페이지,웅진씽크빅 ARC,ARC
리디북스,FAINT 페인트,페인트(FAINT)
카카오페이지,에브리북 에브리블루,에브리북
카카오페이지,북스트림 더클북컴퍼니,더클북컴퍼니
카카오페이지,osmedia,OS미디어
리디북스,문라이트북스,문라이트 북스
네이버시리즈,옐로우 그리핀,옐로우그리핀
